Unicode		按	遺		現		擴	Baxter 白一平	TUPA（用現）	遺	現	遺	現
13770	㗊		莊侵入	✓	莊開三侵入	✓	莊開三〇侵入	tsrip	tsryip		zap1		zhe
13780	㗔		溪開B仙平	✓	溪開三B仙平	✓	溪開三B仙平	khjen	khyen		hin1		qian1
13781	㗕		見侯平	✓	見一侯平	✓	見〇一〇侯平	kuw	kou		gau1		gou1
13783	㗗		幫B支上	✓	幫三B支上	✓	幫〇三B支上	pjeX	pye②		bei2		bi3
13783	㗗		幫B支平	✓	幫三B支平		幫〇三B支平	pje	pye		bei1		bi1
13784	㗘		幫唐入	✓	幫一唐入	✓	幫〇一〇唐入	pak	pak		bok3		bo
13785	㗙		孃咸入	✓	孃開二咸入	✓	孃開二〇咸入	nreap	nreep		naap6		na4
13786	㗚		來開眞入	✓	來開三真入	✓	來開三〇真入	lit	lit		lat6		li4
13787	㗛		心宵去	✓	心開三宵去	✓	心開三〇宵去	sjewH	siew③		siu3		xiao4
13794	㗢		匣冬去	✓	匣一冬去	✓	匣〇一〇冬去	howngH	ghong③		hung6		hong4
13794	㗢		匣冬平	✓	匣一冬平	✓	匣〇一〇冬平	howng	ghong		hung4		hong2
13794	㗢		定一東去	✓	定一東去	✓	定〇一〇東去	duwngH	doung③		dung6		dong4
13796	㗤		精三東入	✓	精三東入	✓	精〇三〇東入	tsjuwk	tsuk		zuk1		zu
13798	㗦		來豪平	✓	來開一豪平	✓	來開一〇豪平	law	law		lou4		lao2
13799	㗧		知開眞入	✓	知開三真入	✓	知開三〇真入	trit	trit		zat1		zhi
13799	㗧		端開先入	✓	端開四先入	✓	端開四〇先入	tet	tet		dit3		die
13800	㗨		曉開佳平	✓	曉開二佳平	✓	曉開二〇佳平	xea	hee		haai1		xia1
13801	㗩		心侵入	✓	心開三侵入	✓	心開三〇侵入	sip	sip		sap1		xi
13803	㗫		清開先入	✓	清開四先入	✓	請開四〇先入	tshet	tshet		cit3		qie
13804	㗬		徹開二麻平	✓	徹開二麻平	✓	徹開二〇麻平	trhae	trhae		caa1		cha1
