	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
裹	見合一歌上・見合一歌去	kʷɑjᴮ	kôjʔ	kloːlʔ・kloːls	s.[k]ˤo[r]ʔ		korʔ	kwarx・kwarh	kˁɔiʔ（guǒ）	[kɫ]ˤoiʔ・[kɫ]ˤoih	kwáːj（guǒ）		kuai	kwa・kwa	✓
錁	見合一歌上														
鐹	見合一歌上・見合一歌去			kloːlʔ・kloːls						kwˤaih					✓
餜	見合一歌上														
過	見合一歌去・見合一歌平	kʷɑj・kʷɑjᶜ	kôj・kôjh	kloːl・kloːls	Cə.kʷˤaj・kʷˤaj・kʷˤaj-s	kʷaj(s)	kor	kwarh	k[wˁa]i（guō）・k[wˁa]i（guō）・k[wˁa]ih（guò）	kwˤai・kwˤaih	kwaːjh（guò）	kʷaːj（guō）	kuai・kuai	kwa・kwa	✓
㳀	見合一歌去														
𧒖	見合一歌去・見合一歌平									kwˤai・kwˤaih					✓
𩟂	見合一歌去									kwˤaih					✓
嵙	溪合一歌平														
犐	溪合一歌平			kʰoːl						kʰˤoi					✓
科	溪合一歌平・溪合一歌去	kʷʰɑj	kʷʰâj	kʰoːl・kʰoːls			khor	kʰwar・kʰwarh		kʰˤoi			kʰuai	kʰwa・kʰwa	✓
窠	溪合一歌平			kʰloːl				kʰwar		[kʰɫ]ˤoi			kʰuai	kʰwa	✓
簻	溪合一歌平・知合二麻平			kʰloːl・kr'oːl・troːl						kʰ[wˤa]i❓					✓
萪	溪合一歌平			kʰoːl						kʰˤoi					✓
薖	溪合一歌平	kʷʰɑj	kʰôj	kʰloːl	kʷʰˤaj	kʰʷaj	khor		kʰ[wˁa]i（kē）	kʰ[wˤa]i❓	kʰwaːj（kē）	kʰʷaːj（kē）	kʰuai		✓
蝌	溪合一歌平			kʰoːl						kʰˤoi			kʰuai		✓
㽿	溪合一歌平・見合一歌平														
䈖	溪合一歌平									kʰˤoi					✓
𠏀	溪合一歌平		kʰôj							kʰ[wˤa]i❓					✓
堁	溪合一歌上・溪合一歌去・溪合一灰去	kʷʰɑjᶜ	kʰojh	kʰloːlʔ・kʰloːls・kloːns						[kʰɫ]ˤoiʔ・[kʰɫ]ˤoih・kʰˤuih				kʰwa	✓
敤	溪合一歌上・溪合一歌去			kʰloːlʔ・kʰloːls				kʰwarx		[kʰɫ]ˤoiʔ・[kʰɫ]ˤoih				kʰwa	✓
顆	溪合一歌上			kʰloːlʔ				kʰwarx		[kʰɫ]ˤoiʔ			kʰuai	kʰwa	✓
課	溪合一歌去・溪合一歌平	kʷʰɑjᶜ	kʰojh	kʰloːl・kʰloːls				kʰwar・kʰwarh		[kʰɫ]ˤoi・[kʰɫ]ˤoih			kʰuai	kʰwa・kʰwa	✓
騍	溪合一歌去・見合一歌去														
髁	溪合一歌去・溪合一歌平・溪合二麻上	ɣʷajᴮ	grôjʔ	kʰloːl・kʰloːls・kʰroːlʔ				kʰwar・kʰwrarx・kʰwarh		[kʰɫ]ˤoi・[kʰɫ]ˤoih・kʰrˤoiʔ			kʰoai	kʰwa・kʰrwa・kʰwa	✓
㪙	溪合一歌去							kʰwarh						kʰwa	✓
㾧	溪合一歌去									[kʰɫ]ˤoih					✓
𡱼	溪合一歌去									[kʰɫ]ˤoih					✓
吪	疑合一歌平	ŋʷɑj	ŋôj	ŋʷaːl	m-qʷʰˤaj	ŋʷaj	ɴar	ŋwar	[ŋ][wˁa]i（é）	ŋwˤai	ŋ⁽ʱ⁾waːj（hōng）	ŋʷaːj（é）	ŋuai	ŋwa	✓
訛	疑合一歌平	ŋʷɑj	ŋôj	ŋʷaːl	m-qʷʰˤaj	ŋʷaj	ɴar		[ŋ][wˁa]i（é）	ŋwˤai	ŋ⁽ʱ⁾waːj（é）	ŋʷaːj（é）	ŋuai	ŋwa	✓
譌	疑合一歌平	ŋʷɑj	ŋʷâj	ŋʷaːl	[m]-qʷʰˤaj			ŋwar	[ŋ][wˁa]i（é）	ŋwˤai				ŋwa	✓
鈋	疑合一歌平			ŋʷaːl				ŋwar		ŋwˤai			ŋuai	ŋwa	✓
魤	疑合一歌平			ŋʷaːl						ŋwˤai					✓
𠂬	疑合一歌上・疑合一歌平							ŋwarx		ŋˤoi・ŋˤoiʔ				ŋwə	✓
臥	疑合一歌去			ŋʷaːls	[ŋ]ˤ[o]j-s			ŋwarh	ŋˁɔih（wò）	ŋˤoih	ŋʱwaːjh（wò）		ŋuai	ŋwa	✓
撾	影合一歌平・知合二麻平・見合一歌平														
涹	影合一歌平			qoːl						ʔˤoi					✓
渦	影合一歌平・見合一歌平			kloːl・qloːl						kwˤai			0uai		✓
濄	影合一歌平			kloːl・qloːl				ʔwar						ʔwa	✓
窩	影合一歌平			qloːl											✓
萵	影合一歌平			qloːl											✓
踒	影合一歌平	ʔʷɑj・ʔʷɑjᶜ	ʔôj・ʔôjh	qoːl				ʔwər		ʔˤoi			0uəi	ʔwə	✓
𡑟	影合一歌平														
婐	影合一歌上・見合二麻平	ʔʷɑjᴮ	ʔôjʔ	qloːlʔ・kroːl				kwrar・ʔwarx		ʔˤoiʔ・krˤoi			0uai	krwa・ʔwə	✓
𥟿	影合一歌上・影合一歌平									ʔˤoi・ʔˤoiʔ					✓
涴	影合一歌去			qoːls・qoːn・qonʔ											✓
伙	曉合一歌上			qʰʷaːlʔ											✓
火	曉合一歌上	hʷɑjᴮ	hmə̂jʔ・m̥ə̂jʔ	qʰʷaːlʔ	[qʷʰ]ˤəjʔ	hmajʔ・hmɨjʔ	smor	hwərx	m̥ˁ[ə]iʔ（huǒ）	m̥ˤəiʔ	m̥ə́ːj（huǒ）	sməːjʔ（huǒ）	huəi	xwə	✓
灬	曉合一歌上														
邩	曉合一歌上			qʰʷaːlʔ				hwərx		m̥ˤəiʔ				xwə	✓
鈥	曉合一歌上														
貨	曉合一歌去	hʷɑjᶜ	hŋôjh	hŋʷaːls	qʷʰˤaj-s	hŋʷaj(s)		hŋwarh	[w̥ˁa]ih（huò）	w̥ˤaih	ŋ̥waːjh（huò）		huai	xwa	✓
咊	匣合一歌平			goːl						ɡˤoi				gwa	✓
禾	匣合一歌平	ɣʷɑj	wâj	goːl	[ɢ]ˤoj		ʁor	gwar	[wˁa]i（hé）	ɡˤoi	g⁽ʱ⁾waːj（hé）		ɣuai	gwa	✓
鉌	匣合一歌平			goːl						ɡˤoi					✓
龢	匣合一歌平	ɣʷɑj	wâj	goːl				gwar		ɡˤoi			ɣuai	gwa	✓
㗻	匣合一歌平・見合一歌平									kwˤai					✓
䒩	匣合一歌平									ɡˤoi					✓
𤖱	匣合一歌平									ɡˤoi					✓
夥	匣合一歌上・匣合二佳上	ɣʷɑjᴮ		qʰloːlʔ・gloːlʔ・groːlʔ	[gʷˤ]ajʔ			gwarx	gˁɔiʔ（huǒ）	ɡˤoiʔ			ɣuai	gwa	✓
禍	匣合一歌上	ɣʷɑjᴮ	gôjʔ	gloːlʔ	[g]ʷˤajʔ	gʷajʔ	gorʔ	gwarx	g[wˁa]iʔ（huò）	ɡ[wˤa]iʔ❓	gʱwáːj（huò）	gʱʷaːjʔ（huò）	ɣuai	gwa	✓
輠	匣合一歌上・匣合二麻上・匣合一灰上・見合一歌上	ɣʷajᴮ・ɣʷəjᴮ・gojᶜ	grôjʔ・gûjʔ	kloːlʔ・gloːlʔ・groːlʔ・kʰluːls	[g]ˤ<r>orʔ・[g]ˤorʔ・[g]ˤurʔ				gʴˁɔiʔ（huà）・gˁuiʔ（huì）・gˁɔ[l]ʔ（huàn）	[kɫ]ˤoiʔ・ɡˤoiʔ・ɡrˤoiʔ				gwər・grwa	✓
𡖿	匣合一歌上									ɡ[wˤa]iʔ❓					✓
𣄸	匣合一歌上							gwarx		ɡ[wˤa]iʔ❓				gwa	✓
𥙯	匣合一歌上														
𥚁	匣合一歌上									ɡ[wˤa]iʔ❓					✓
𨘌	匣合一歌上									ɡ[wˤa]iʔ❓					✓
俰	匣合一歌去			goːls						ɡˤoih					✓
和	匣合一歌去・匣合一歌平	ɣʷɑj・ɣʷɑjᶜ	wâj・wâjh	goːl・goːls	[ɢ]ˤoj・[ɢ]ˤoj-s	goj(s)	ʁor・ʁors	gwar・gwarh	[wˁa]i（hé）・[wˁa]ih（hè）	ɡˤoi・ɡˤoih	gʱwaːj（hé）	gʱʷaːj（hé）	ɣuai・ɣuai	gwa・gwa	✓
盉	匣合一歌去・匣合一歌平	ɣʷɑj	wâj	goːl・goːls				gwar・gwarh		ɡˤoi・ɡˤoih				gwa・gwa	✓
腡	來合一歌平・見合二佳平			g·roːl・kʷroːl	k.rˤoj				ɹˁɔi（luó）	kwrˤai					✓
螺	來合一歌平	lʷɑj・loj	rôj	roːl	k.rˤoj				ɹˁɔi（luó）	rˤoi	rʱwaːj（luó）				✓
覼	來合一歌平			roːl				luar		rˤoi⏪覶				lwa	✓
鏍	來合一歌平														
騾	來合一歌平	lʷɑj	rôj	roːl						rˤoi				lwa	✓
驘	來合一歌平			roːl						rˤoi					✓
鸁	來合一歌平			roːl						rˤoi					✓
𣜄	來合一歌平									rˤoi					✓
𥡜	來合一歌平									rˤoi					✓
𥢵	來合一歌平									rˤoi					✓
𦿌	來合一歌平・來開四蕭平									rˤoi⏪蔂					✓
𧄿	來合一歌平									rˤoi					✓
𨰠	來合一歌平							luar		rˤoi				lwa	✓
𩼊	來合一歌平									rˤoi			luai		✓
倮	來合一歌上	lʷɑjᴮ・lojᴮ	rôjʔ		[r]ˤo[r]ʔ				ɹˁɔiʔ（luǒ）						✓
卵	來合一歌上・來合一寒上	lʷɑnᴮ	rônʔ	g·roːlʔ・g·roːnʔ	k.rˤorʔ	g-ronʔ		luanx	ɹˁɔ[l]ʔ（luǎn）・ɹˁɔlʔ（luǎn）	rˤonʔ	rʱwáːn（luǎn）		luan	lwan	✓
瘰	來合一歌上			roːlʔ				lərx						lwə	✓
臝	來合一歌上			roːlʔ	rˤorʔ		lorʔ		ɹˁɔiʔ（luǒ）	rˤoiʔ	rwáːj（luǒ）		luai	lwə	✓
蓏	來合一歌上	lʷɑjᴮ	rôjʔ	roːlʔ				luarx		rˤoiʔ				lwə	✓
蠃	來合一歌上・來合一歌平		rôjʔ	roːl・roːlʔ	rˤorʔ		lor	luar	ɹˁɔiʔ（luǒ）	rˤoi・rˤoiʔ	r⁽ʱ⁾wáːj（luǒ）		luai	lwa・lwə	✓
裸	來合一歌上	lʷɑjᴮ・lojᴮ	rôjʔ	g·roːlʔ	[r]ˤo[r]ʔ			luarx	ɹˁɔiʔ（luǒ）	[k.r]ˤoiʔ	rwáːj（luǒ）		luai	lwə	✓
躶	來合一歌上			g·roːlʔ						[k.r]ˤoiʔ					✓
𤼠	來合一歌上														
𦝠	來合一歌上														
𧝹	來合一歌上							luarx		rˤoiʔ				lwə	✓
摞	來合一歌去・來合一歌平			roːl・roːls						rˤoi					✓
㱻	來合一歌去・來合一泰去							luarh		rˤoih				lwa	✓
䇔	來合一歌去							luarh		rˤoih				lwa	✓
䌴	來合一歌去							luarh		rˤoih				lwa	✓
𠏢	來合一歌去														
𡰟	來合一歌去・來合三支平														
𡰠	來合一歌去・來合三支平							luarh		rˤoih・roi				lwa	✓
𢺑	來合一歌去									rˤoih					✓
哚	端合一歌上														
埵	端合一歌上	tʷɑjᴮ	tôjʔ	toːlʔ				tuarx		tˤoiʔ			tuai	twa	✓
挆	端合一歌上・端合一歌去			toːlʔ・toːls						tˤoiʔ・tˤoih					✓
朵	端合一歌上	tʷɑjᴮ	tôjʔ	toːlʔ				tuarx		tˤoiʔ				twa	✓
朶	端合一歌上			toːlʔ						tˤoiʔ					✓
綞	端合一歌上			toːlʔ						tˤoiʔ					✓
褍	端合一歌上・端合一寒平	tʷɑn	tôn	toːlʔ・toːn				tuan		tˤon・tˤoiʔ				twan	✓
躲	端合一歌上			toːlʔ											✓
鍺	端合一歌上			toːlʔ											✓
䤪	端合一歌上									tˤoiʔ					✓
𥠄	端合一歌上・端合一寒平							tuan・tuarx		tˤon・tˤoiʔ				twan・twa	✓
𦀉	端合一歌上									tˤoiʔ					✓
𨦃	端合一歌上														
𨹃	端合一歌上・端合一歌平														
𨹄	端合一歌上・端合一歌平									tˤoiʔ					✓
刴	端合一歌去														
剁	端合一歌去	tʷɑjᶜ	tôjh	toːls						tˤoih					✓
挅	端合一歌去														
桗	端合一歌去・端合一歌平			toːl・toːls											✓
跺	端合一歌去														
㛆	端合一歌去														
䜏	透合一歌平									l̥ˤoi					✓
𧦭	透合一歌平														
妥	透合一歌上	tʷʰɑᴮ・tʷʰɑjᴮ	n̥ôjʔ	n̥ʰoːlʔ	n̥ˤojʔ	hnojʔ	snurʔ	hnuarx	n̥ˁɔiʔ（tuǒ）	n̥ˤoiʔ	n̥wáːj（tuǒ）		tʰuai	tʰwa	✓
橢	透合一歌上	tʷʰɑjᴮ	l̥ôjʔ	l̥ʰoːlʔ	l̥ˤojʔ			tʰuarx	ɫ̥ˁɔiʔ（tuǒ）	l̥ˤoiʔ			tʰuai	tʰwa	✓
隋	透合一歌上・邪合三支平	sɥeᶜ・sɥajᶜ・hɥajᶜ・tʷʰɑjᴮ	sʷajh・hʷajh・l̥ôjʔ	l̥ʰoːlʔ・l'oːlʔ・ljol	l̥oj-s・lˤojʔ・sə.loj・s-loj-s・l̥ˤojʔ			sdjuar	ɫ̥ɔih（huì）・ɫ͂ɔi（suí）・ɫ̥ɔih（suì）・ɫˁɔiʔ（suí）・ɫˁɔiʔ（suí）・ɫ̥ˁɔiʔ（tuǒ）	l̥ˤoiʔ・sloi	sl̥wáːj（suí）		zǐwai	rjiwa	✓
鵎	透合一歌上			n̥ʰoːlʔ						n̥ˤoiʔ					✓
㟎	透合一歌上・透合一灰上									n̥ˤoiʔ・n̥ˤuiʔ					✓
𨼰	透合一歌上									l̥ˤoiʔ					✓
唾	透合一歌去	tʷʰɑjᶜ	tʰôjh	tʰoːls				tʰuarh		tʰˤoih			tʰuai	tʰwa	✓
毤	透合一歌去			l̥ʰoːds											✓
毻	透合一歌去・透合一泰去			l̥ʰoːls・l̥ʰoːds						l̥ˤoih					✓
涶	透合一歌去・透合一歌平			tʰoːl・tʰoːls				tʰuar		tʰˤoi・tʰˤoih				tʰwa	✓
𣮆	透合一歌去														
𧝍	透合一歌去・定合一歌去							tʰuarh		l̥ˤoih・lˤoih				tʰwa	✓
堶	定合一歌平			l'oːl						lˤoi					✓
碢	定合一歌平			l'oːl											✓
㸰	定合一歌平・溪合一歌平														
垛	定合一歌上			doːlʔ				duarx		dˤoiʔ			duai	dwa	✓
墮	定合一歌上・曉合三A支平・透合一歌上	hɥaj・dʷɑᴮ・dʷɑjᴮ	lôjʔ	l̥ʰoːlʔ・l'oːlʔ・hlol	lˤojʔ・l̥oj			duarx・tʰuarx	ɫ̥ɔi（huī）・ɫˁɔiʔ（duò）	l̥ˤoiʔ・lˤoiʔ・hloi	l⁽ʱ⁾wáːj（duò）		duai	dwa・tʰwa	✓
嫷	定合一歌上・透合一歌去・透合一歌上			l̥ʰoːls・l'oːlʔ				duarx・tʰuarh		l̥ˤoiʔ・l̥ˤoih・lˤoiʔ				dwa・tʰwa	✓
嶞	定合一歌上	dʷɑjᴮ	lôjʔ	l'oːlʔ			zorʔ	duarx		lˤoiʔ			duai	dwa	✓
惰	定合一歌上・定合一歌去	dʷɑjᴮ・dʷɑjᶜ	lôjʔ・lôjh	l'oːlʔ・l'oːls	lˤojʔ		zorʔ	duarh	ɫˁɔiʔ（duò）	lˤoiʔ・lˤoih	l⁽ʱ⁾wáːj（duò）		duai	dwa・dwa	✓
憜	定合一歌上			l'oːlʔ				duarx		lˤoiʔ				dwa	✓
鬌	定合一歌上・澄合三支平・端合一歌上	tʷɑjᴮ・dʷɑjᴮ・ɖɥaj	tlôjʔ・lôjʔ・drojʔ・r-lojʔ	ʔl'oːlʔ・l'oːlʔ・l'ol				drjuar・tuarx・duarx		lˤoiʔ			tuai・duai	diwa・twa・dwa	✓
䅜	定合一歌上・常合三支去									dˤoiʔ・doih					✓
䤻	定合一歌上									lˤoiʔ				dwa	✓
𤬾	定合一歌上									dˤoiʔ					✓
𥬲	定合一歌上・知合二麻平							duarx		trˤoi・dˤoiʔ				dwa	✓
𥬸	定合一歌上・知合二麻平														
𥳔	定合一歌上									lˤoiʔ					✓
𩊜	定合一歌上・端合一歌上									tˤoiʔ・dˤoiʔ					✓
媠	定合一歌去・透合一歌上	tʷʰɑjᴮ・dʷɑjᶜ	l̥ôjʔ・lôjh	l̥ʰoːlʔ・l'oːls				tʰuarx・duarh		lˤoih			tʰuai	tʰwa・dwa	✓
䙃	定合一歌去							duarh						dwa	✓
𧱫	定合一歌去									lˤoih					✓
㛂	泥合一歌上・疑合一歌上							ŋwarx		ŋˤoiʔ				ŋwə	✓
𢫷	泥合一歌上														
稬	泥合一歌去・泥合一寒上・泥合一寒去			noːls・noːnʔ・noːns				nuanx・nuanh		nˤonʔ・nˤonh・nˤoi				nwan・nwan	✓
穤	泥合一歌去														
糯	泥合一歌去			noːls											✓
𩛠	精合一歌平														
侳	精合一歌去・精合一歌平			ʔsal・ʔsoːls・ʔsoːls				tsuarh		tsˤoih			tsuai	tswa	✓
夎	精合一歌去・精合一灰去	tsʷɑjᶜ・tsʷəjᶜ	tsôjh・tsûjh	ʔsoːls						tsˤoih				tswa	✓
挫	精合一歌去	tsʷɑjᶜ	tsôjh	ʔsoːls				tsuarh		tsˤoih			tsuai	tswa	✓
遳	清合一歌平			shloːl											✓
脞	清合一歌上・清合一歌平	tsʷʰɑjᴮ	tsʰôjʔ	shal・shoːlʔ	tsʰˤojʔ				tʃʰ⁽ʴ⁾ˁɔiʔ（cuǒ）	tsʰ(r)ˤoiʔ❓				tsʰwa	✓
剉	清合一歌去	tsʷɑjᶜ・tsʷʰɑjᶜ	tsʰôjh・k-sôjh	shoːls	[tsʰ]ˤoj-s			tsʰuarh	tʃʰ⁽ʴ⁾ˁɔih（cuò）	tsʰ(r)ˤoih❓	tsʰwaːjh（cuò）		tsʰuai	tsʰwa	✓
莝	清合一歌去	tsʷɑjᶜ・tsʷʰɑjᶜ	tsʰôjh・k-sôjh	shoːls		tshojs		tsʰuarh		tsʰ(r)ˤoih❓			tsʰuai	tsʰwa	✓
痤	從合一歌平	dzʷɑj	dzôj	zoːl				dzuar		dzˤoi			dzuai	dzwa	✓
睉	從合一歌平			zoːl				dzuar		dzˤoi				dzwa	✓
矬	從合一歌平			zoːl						dzˤoi					✓
㭫	從合一歌平									dzˤoi					✓
坐	從合一歌上・從合一歌去	dzʷɑjᴮ・dzʷɑjᶜ	dzôjʔ・dzôjh	zoːlʔ・zoːls	[dz]ˤo[j]ʔ・m-[dz]ˤo[j]ʔ・[dz]ˤo[j]ʔ-s	dzojʔ	ȡorʔ	dzuarx・dzuarh	dʒ⁽ʴ⁾ˁɔiʔ（zuò）・dʒ⁽ʴ⁾ˁɔiʔ（zuò）・dʒ⁽ʴ⁾ˁɔih（zuò）	dzˤoiʔ・dzˤoih	zʱwáːj（zuò）		dzuai・dzuai	dzwə・dzwa	✓
𡋲	從合一歌上									dzˤoiʔ					✓
唑	從合一歌去														
座	從合一歌去			zoːls	[dz]ˤo[j]ʔ-s	dzoj(ʔ)s			dʒ⁽ʴ⁾ˁɔih（zuò）	dzˤoih	z⁽ʱ⁾waːjh（zuò）		dzuai		✓
唆	心合一歌平			sloːl											✓
梭	心合一歌平			sloːl									suai		✓
羧	心合一歌平														
莎	心合一歌平	sʷɑj・ʂaj	srâj	soːl			ɕa̠r	suar					suai	swa	✓
莏	心合一歌平			soːl											✓
蓑	心合一歌平・心合一灰平	sʷɑ・sʷɑj	sôj	sloːl・sluːl	[s]ˤoj	soj	ɕur	səd・sər	s⁽ʴ⁾ˁɔi（suō）	sˤoi	swaːj（suō）		suəi	swər・swə	✓
趖	心合一歌平			soːl				suar						swa	✓
髿	心合一歌平・生開二麻平			sraːl・soːl						srˤai					✓
魦	心合一歌平・生開二麻平			sraːl・soːl				srar		srˤai				sra	✓
㛗	心合一歌平・清合一歌平							suar						swa	✓
𢘿	心合一歌平														
𣜤	心合一歌平														
𧨀	心合一歌平														
嗩	心合一歌上														
溑	心合一歌上			soːlʔ				suarx		sˤoiʔ				swa	✓
瑣	心合一歌上	sʷɑjᴮ	sôjʔ	soːlʔ	[s]ˤojʔ		ɕorʔ	suarx	s⁽ʴ⁾ˁɔiʔ（suǒ）・s⁽ʴ⁾ˁɔiʔ（suǒ）	sˤoiʔ	swáːj（suǒ）		suai	swa	✓
葰	心合一歌上・心合三脂平・生合二麻上			sloːlʔ・sroːlʔ・slul						snui					✓
鎖	心合一歌上			soːlʔ	[s]ˤojʔ				s⁽ʴ⁾ˁɔiʔ（suǒ）	sˤoiʔ	swáːj（suǒ）		suai		✓
䈗	心合一歌上														
䣔	心合一歌上									sˤoiʔ					✓
䵀	心合一歌上							suarx		sˤoiʔ			suai		✓
𢱡	心合一歌上									sˤoiʔ					✓
𥔭	心合一歌上									sˤoiʔ					✓
𧴪	心合一歌上	sʷɑjᴮ	sôjʔ					suarx		sˤoiʔ				swa	✓
𩹳	心合一歌上									sˤoiʔ					✓
䐝	心合一歌去							suarh					suai	swa	✓
𩨭	溪合三C歌平			qʰʷal											✓
𩨷	溪合三C歌平														
瘸	羣合三C歌平			gʷal											✓
𠏃	影合三C歌平														
𦚢	影合三C歌平			qʷal											✓
靴	曉合三C歌平			hʷa											✓
鞾	曉合三C歌平			qʰʷa											✓
㗾	曉合三C歌平														
𢪎	曉合三C歌平														
𦣛	來合三歌平														
吧	幫二麻平・滂二麻平			praː・pʰraː						prˤa・pʰrˤa					✓
岜	幫二麻平														
巴	幫二麻平	pa	prâ	praː	pˤra			prag	pʴˁa（bā）・pʴˁa（bā）	prˤa	praː（bā）		pea	prwaɣ	✓
疤	幫二麻平	pa		praː											✓
粑	幫二麻平														
羓	幫二麻平														
芭	幫二麻平	pa	prâ	praː						prˤa			pea	prwaɣ	✓
蚆	幫二麻平・滂二麻平			praː・pʰraː				pʰrag		prˤa・pʰrˤa				pʰrwaɣ	✓
豝	幫二麻平	pa	prâ	praː	pˤra	pra	pla	prag	pʴˁa（bā）	prˤa	praː（bā）	praː（bā）	pea	prwaɣ	✓
鈀	幫二麻平・滂二麻平			praː・pʰraː				pʰrag・prag		prˤa・pʰrˤa				pʰrwaɣ・prwaɣ	✓
㿬	幫二麻平									prˤa					✓
把	幫二麻上	paᴮ	prâʔ	praːʔ	pˤraʔ			pragx	pʴˁaʔ（bǎ）	prˤaʔ	práː（bǎ）		pea	prwaɣ	✓
垻	幫二麻去			praːs											✓
壩	幫二麻去			praːgs											✓
弝	幫二麻去			praːs						prˤah					✓
欛	幫二麻去			praːgs						pʰrˤakh					✓
灞	幫二麻去			praːgs						pʰrˤakh			pea		✓
覇	幫二麻去														
霸	幫二麻去	pʰak・paᶜ	pʰrâk・prâkh	praːgs	pˤrak-s・[pʰˤ]rak		prah	pragh	pʴˁah（bà）・pʰʴˁak（pò）	pʰrˤakh	pʰraːk（bà）		pea	prwaɣ	✓
靶	幫二麻去			praːs				pragh		prˤah			pea	prwaɣ	✓
𧟳	幫二麻去														
𧟶	幫二麻去									pʰrˤakh					✓
妑	滂二麻平			pʰraː						pʰrˤa					✓
舥	滂二麻平			pʰraː						pʰrˤa					✓
葩	滂二麻平	pʰa		pʰraː				pʰrag		pʰrˤa			pʰea	pʰrwaɣ	✓
𧣃	滂二麻平									pʰrˤa					✓
帊	滂二麻去			pʰraːs						pʰrˤah			pʰea		✓
怕	滂二麻去・滂二庚入	pʰak	pʰrâk	pʰraːgs・pʰaːs・pʰraːg		pʰraks		pʰragh・pʰrak		pʰrˤak			pʰea	pʰrwaɣ・pʰrwak	✓
掱	並二麻平														
爬	並二麻平			braː	[b]ˤra				bʴˁa（pá）	brˤa					✓
琶	並二麻平			braː						brˤa			bea		✓
筢	並二麻平														
笆	並二麻上・幫二麻平	baᴮ・pa		praː・braːʔ						prˤa・brˤaʔ			pea		✓
跁	並二麻上・並二麻去			braːʔ・braːs						brˤaʔ					✓
䇑	並二麻上														
杷	並二麻去・並二麻平・並二佳去	ba・baᶜ	brâ・brâh	braː・braːs・braːs				brag・bragh		brˤa			bea・bea	brwaɣ・brwaɣ	✓
耙	並二麻去・幫二麻去	ba・baᶜ	brâ・brâh	braːs	[b]ˤra				bʴˁa（pá）	brˁa❓	praːh（bà）				✓
𤝡	並二麻去														
𥝧	並二麻去														
𦫙	並二麻去														
𩹏	並二麻去														
嗎	明二麻平														
嘛	明二麻平														
犘	明二麻平			mraːl				mrar		mrˤai			meai	mrwa	✓
痲	明二麻平			mraːl				ljəm		mrˤai			lǐəm	liəm	✓
蟆	明二麻平	ma	mrâ・ma・mra	mraː				mrag					mea	mrwaɣ	✓
麻	明二麻平	ma・maj	mrâj	mraːl	C.mˤraj	mraj	m/l/ar	mrar	mʴˁ[a]i（má）	mrˤai	mʱraːj（má）	mraːj（má）	meai	mrwa	✓
㦄	明二麻平									mrˤai					✓
𩔶	明二麻平									mrˤai					✓
𪓹	明二麻平									mrˤai					✓
獁	明二麻上														
瑪	明二麻上			mraːʔ											✓
碼	明二麻上			mraːʔ						mrˤaʔ					✓
螞	明二麻上														
馬	明二麻上	maᴮ	mrâʔ	mraːʔ	mˤraʔ	mraʔ	mraʔ	mragx	[m]ʴˁaʔ（mǎ）	mrˤaʔ	mráː（mǎ）	mraːʔ（mǎ）	mea	mrwaɣ	✓
駡	明二麻上・明二麻去														
鰢	明二麻上			mraːʔ						mrˤaʔ					✓
鷌	明二麻上			mraːʔ						mrˤaʔ					✓
䣕	明二麻上・明二麻去							mragx・mragh		mrˤaʔ・mrˤah				mrwaɣ・mrwaɣ	✓
𥧓	明二麻上									mrˤaʔ					✓
傌	明二麻去			mraːs						mrˤah					✓
榪	明二麻去			mraːs						mrˤah					✓
禡	明二麻去	maᶜ	mrâh	mraːs			mrah	mragh		mrˤah	mʱraːh（mà）		mea	mrwaɣ	✓
罵	明二麻去・明二麻上	maᴮ・maᶜ	mâʔ・mâh	mraːʔ・mraːs	C.mˤra-s				[m]ʴˁah（mà）	mrˤaʔ・mrˤah			mea	mrwaɣ・mrwaɣ	✓
鬕	明二麻去			mraːgs				mragh		mrˤa(k)h				mrwaɣ	✓
𧪨	明二麻去									mrˤah					✓
乜	明三A麻上			mjaːʔ											✓
哶	明三A麻上														
傢	見開二麻平			kraː											✓
加	見開二麻平	ka・kaj	krâj	kraːl	kˤraj	kraj	krar	krar	kʴˁai（jiā）	krˤai		kraːj（jiā）	keai	kra	✓
嘉	見開二麻平	kajᶜ	krâj	kraːl	kˤ<r>aj	kraj	krar	krar	kʴˁai（jiā）	krˤai	kraːj（jiā）	kraːj（jiā）	keai	kra	✓
家	見開二麻平	ka	krâ	kraː	kˤra	kra	k/l/a	krag	kʴˁa（jiā）	krˤa	kraː（jiā）	kraː（jiā）	kea	kraɣ	✓
犌	見開二麻平			kraː						krˤa				kraɣ	✓
猳	見開二麻平			kraː						krˤa					✓
珈	見開二麻平	ka・kaj	krâj	kraːl		kraj	krar		kʴˁai（jiā）	krˤai	kraːj（jiā）	kraːj（jiā）		kra	✓
痂	見開二麻平			kraːl				krar		krˤai			keai	kra	✓
笳	見開二麻平			kraːl						krˤai					✓
葭	見開二麻平	ka	krâ	kraː		kra	kra	krag	kʴˁa（jiā）	krˤa	kraː（jiā）	kraː（jiā）	kea	kraɣ	✓
袈	見開二麻平			kraːl						krˤai					✓
豭	見開二麻平	ka	krâ	kraː	kˤra			krag	kʴˁa（jiā）	krˤa	kraː（jiā）		kea	kraɣ	✓
