	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
筩	定一東平	doŋ	lôŋ	l'oːŋ				duŋ		dˤoŋ				dewŋ	✓
罿	定一東平・昌三鍾平	tɕʰoŋ・doŋ	tʰoŋ・dôŋ	doːŋ・tʰjoŋ		tʰjoŋ	doŋ	duŋ・tʰjuŋ	tʰɔŋ（chōng）	dˤoŋ・tʰoŋ	dʱoːŋ（tóng）	tʰoŋ（chōng）	dɔŋ	dewŋ・tʰjewŋ	✓
茼	定一東平														
蕫	定一東平・端一東上			toːŋʔ・doːŋ				duŋ		dˤoŋ				dewŋ	✓
銅	定一東平	doŋ	lôŋ	doːŋ	[l]ˤoŋ			duŋ	[l]ˁɔŋ（tóng）	lˤoŋ	dɮoːŋ（tóng）		dɔŋ	dewŋ	✓
鮦	定一東平・澄三尤上・澄三鍾上			duʔ・doŋʔ				duŋ		lˤoŋ				dewŋ	✓
㼧	定一東平									lˤoŋ					✓
㼿	定一東平・章三鍾去									dˤoŋ					✓
䆚	定一東平									lˤoŋ					✓
䴀	定一東平									dˤoŋ					✓
𢈉	定一東平									lˤoŋ					✓
𢏕	定一東平									lˤoŋ					✓
𤭁	定一東平									lˤoŋ					✓
